index,Class 1/2/3,Alcohol,Malic acid,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates
146,3,13.88,5.04,2.23,20.0,80,0.98,0.34,0.4,0.68,4.9,0.58,1.33,415,5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52
147,3,12.87,4.61,2.48,21.5,86,1.7,0.65,0.47,0.86,7.65,0.54,1.86,625,7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8
148,3,13.32,3.24,2.38,21.5,92,1.93,0.76,0.45,1.25,8.42,0.55,1.62,650,6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58
149,3,13.08,3.9,2.36,21.5,113,1.41,1.39,0.34,1.14,9.4,0.57,1.33,550,8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61
150,3,13.5,3.12,2.62,24.0,123,1.4,1.57,0.22,1.25,8.6,0.59,1.3,500,7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53
151,3,12.79,2.67,2.48,22.0,112,1.48,1.36,0.24,1.26,10.8,0.48,1.47,480,9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0
152,3,13.11,1.9,2.75,25.5,116,2.2,1.28,0.26,1.56,7.1,0.61,1.33,425,7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54
153,3,13.23,3.3,2.28,18.5,98,1.8,0.83,0.61,1.87,10.52,0.56,1.51,675,7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54
154,3,12.58,1.29,2.1,20.0,103,1.48,0.58,0.53,1.4,7.6,0.58,1.55,640,7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72
155,3,13.17,5.19,2.32,22.0,93,1.74,0.63,0.61,1.55,7.9,0.6,1.48,725,7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71
156,3,13.84,4.12,2.38,19.5,89,1.8,0.83,0.48,1.56,9.01,0.57,1.64,480,7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72
157,3,12.45,3.03,2.64,27.0,97,1.9,0.58,0.63,1.14,7.5,0.67,1.73,880,7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71
158,3,14.34,1.68,2.7,25.0,98,2.8,1.31,0.53,2.7,13.0,0.57,1.96,660,7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5
159,3,13.48,1.67,2.64,22.5,89,2.6,1.1,0.52,2.29,11.75,0.57,1.78,620,6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57
160,3,12.36,3.83,2.38,21.0,88,2.3,0.92,0.5,1.04,7.65,0.56,1.58,520,7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56
161,3,13.69,3.26,2.54,20.0,107,1.83,0.56,0.5,0.8,5.88,0.96,1.82,680,7.6,0.68,0.02,1.3,0.072,9.0,20.0,0.9965,3.17,1.08
162,3,12.85,3.27,2.58,22.0,106,1.65,0.6,0.6,0.96,5.58,0.87,2.11,570,7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56
163,3,12.96,3.45,2.35,18.5,106,1.39,0.7,0.4,0.94,5.28,0.68,1.75,675,7.4,0.6,0.26,7.3,0.07,36.0,121.0,0.9982,3.37,0.49
164,3,13.78,2.76,2.3,22.0,90,1.35,0.68,0.41,1.03,9.58,0.7,1.68,615,7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49
165,3,13.73,4.36,2.26,22.5,88,1.28,0.47,0.52,1.15,6.62,0.78,1.75,520,7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62
166,3,13.45,3.7,2.6,23.0,111,1.7,0.92,0.43,1.46,10.68,0.85,1.56,695,6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52
167,3,12.82,3.37,2.3,19.5,88,1.48,0.66,0.4,0.97,10.26,0.72,1.75,685,7.3,0.55,0.03,1.6,0.072,17.0,42.0,0.9956,3.37,0.48
168,3,13.58,2.58,2.69,24.5,105,1.55,0.84,0.39,1.54,8.66,0.74,1.8,750,6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55
169,3,13.4,4.6,2.86,25.0,112,1.98,0.96,0.27,1.11,8.5,0.67,1.92,630,7.5,0.705,0.24,1.8,0.36,15.0,63.0,0.9964,3.0,1.59
170,3,12.2,3.03,2.32,19.0,96,1.25,0.49,0.4,0.73,5.5,0.66,1.83,510,7.9,0.885,0.03,1.8,0.058,4.0,8.0,0.9972,3.36,0.33
171,3,12.77,2.39,2.28,19.5,86,1.39,0.51,0.48,0.64,9.899999,0.57,1.63,470,8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61
172,3,14.16,2.51,2.48,20.0,91,1.68,0.7,0.44,1.24,9.7,0.62,1.71,660,8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61
173,3,13.71,5.65,2.45,20.5,95,1.68,0.61,0.52,1.06,7.7,0.64,1.74,740,7.4,0.62,0.05,1.9,0.068,24.0,42.0,0.9961,3.42,0.57
174,3,13.4,3.91,2.48,23.0,102,1.8,0.75,0.43,1.41,7.3,0.7,1.56,750,7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47
